Voucher	Lineage	Fresh_water	Country	Basin	Latitude 	Norte-Sur	Longitude 	Este-Oeste	COI	Reference
616S	EUR2	 Dvina	Russia	Arctic	61.2785	N	48.6681	E	MK574158	"Bolotov et al., 2020"
73F	EUR2	Vistula	Poland	Baltic	NA	NA	NA	NA	AF494102	"Soroka et al., 2008"
NRM42794	EUR2	Indalsalven	Sweden	Baltic	NA	NA	NA	NA	DQ060168	"Kallersjo et al., 2005"
AanatAGA1.1	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	EF571387	"Reis et al., 2013"
AanatAGA2.1	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	EF571388	"Reis et al., 2013"
AanatBAG1.2	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	EF571389	"Reis et al., 2013"
AanatBAG2.2	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	EF571390	"Reis et al., 2013"
AanatMOb1.4	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	EF571391	"Reis et al., 2013"
AanatMOB2.4	IBER	Mondego	Portugal	Atlantic	NA	NA	NA	NA	EF571392	"Reis et al., 2013"
AanatSDA1.5	IBER	Sado	Portugal	Atlantic	NA	NA	NA	NA	EF571393	"Reis et al., 2013"
AanatTAE1.7	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	EF571394	"Reis et al., 2013"
AanatTAE2.7	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	EF571395	"Reis et al., 2013"
AanatXA1.3	IBER	Guadiana	Portugal	Atlantic	NA	NA	NA	NA	EF571396	"Reis et al., 2013"
AanatXA2.3	IBER	Guadiana	Portugal	Atlantic	NA	NA	NA	NA	EF571397	"Reis et al., 2013"
246N	EUR2	Oder	Poland	Baltic	NA	NA	NA	NA	GU230742	"Froufe et al., 2014"
319N	EUR2	Vistula	Poland	Baltic	NA	NA	NA	NA	GU230745	"Froufe et al., 2014"
AA1	IBER	Douro	Portugal	Atlantic	41.5417	N	7.7875	W	KC583446	"Hinzmann et al., 2013"
AA11	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	KC583447	"Hinzmann et al., 2013"
AA12	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	KC583448	"Hinzmann et al., 2013"
AA13	IBER	Douro	Portugal	Atlantic	NA	NA	NA	NA	KC583449	"Hinzmann et al., 2013"
AA14	IBER	Guadiana	Portugal	Atlantic	38.6656	N	7.0847	W	KC583450	"Hinzmann et al., 2013"
AA15	IBER	Guadiana	Portugal	Atlantic	38.6656	N	7.0847	W	KC583451	"Hinzmann et al., 2013"
AA16	IBER	Guadiana	Portugal	Atlantic	38.6656	N	7.0847	W	KC583452	"Hinzmann et al., 2013"
AA17	IBER	Guadiana	Portugal	Atlantic	38.6656	N	7.0847	W	KC583453	"Hinzmann et al., 2013"
AA3	IBER	Douro	Portugal	Atlantic	41.5417	N	7.7875	W	KC583454	"Hinzmann et al., 2013"
AA31	IBER	Douro	Portugal	Atlantic	41.5653	N	6.8808	W	KC583455	"Hinzmann et al., 2013"
AA32	IBER	Douro	Portugal	Atlantic	41.5653	N	6.8808	W	KC583456	"Hinzmann et al., 2013"
AA33	IBER	Douro	Portugal	Atlantic	41.5653	N	6.8808	W	KC583457	"Hinzmann et al., 2013"
AA42	IBER	Minho	Portugal	Atlantic	42.0511	N	8.5611	W	KC583458	"Hinzmann et al., 2013"
AA51	IBER	Minho	Portugal	Atlantic	42.0511	N	8.5611	W	KC583459	"Hinzmann et al., 2013"
AA61	IBER	Minho	Portugal	Atlantic	42.0511	N	8.5611	W	KC583460	"Hinzmann et al., 2013"
AC1	IBER	Vouga	Portugal	Atlantic	40.5761	N	8.5269	W	KC583461	"Hinzmann et al., 2013"
AC3	IBER	Vouga	Portugal	Atlantic	40.5761	N	8.5269	W	KC583462	"Hinzmann et al., 2013"
AC9	IBER	Vouga	Portugal	Atlantic	40.5761	N	8.5269	W	KC583463	"Hinzmann et al., 2013"
AA173	IBER	Sado	Portugal	Atlantic	NA	NA	NA	NA	KC583464	"Froufe et al., 2014"
AA176	IBER	Sado	Portugal	Atlantic	NA	NA	NA	NA	KC583465	"Froufe et al., 2014"
AA179	IBER	Sado	Portugal	Atlantic	NA	NA	NA	NA	KC583466	"Froufe et al., 2014"
AA19	IBER	Guadiana	Portugal	Atlantic	38.6656	N	7.0847	W	KC583467	"Froufe et al., 2014"
AA229	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	KC583468	"Froufe et al., 2014"
AA233	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	KC583469	"Froufe et al., 2014"
AA234	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	KC583470	"Froufe et al., 2014"
AA237	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	KC583471	"Froufe et al., 2014"
AA242	IBER	Tejo	Portugal	Atlantic	NA	NA	NA	NA	KC583472	"Froufe et al., 2014"
AA257	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	KC583473	"Froufe et al., 2014"
AA258	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	KC583474	"Froufe et al., 2014"
AA259	ITAL	Ebro	Spain	WesterMed	41.8534	N	1.2316	W	KC583475	"Froufe et al., 2014"
AA287	IBER	Guadalquivir	Spain	Atlantic	NA	NA	NA	NA	KC583476	"Froufe et al., 2014"
AA288	IBER	Guadalquivir	Spain	Atlantic	NA	NA	NA	NA	KC583477	"Froufe et al., 2014"
AA289	IBER	Guadalquivir	Spain	Atlantic	NA	NA	NA	NA	KC583478	"Froufe et al., 2014"
AA339	IBER	Guadalquivir	Spain	Atlantic	NA	NA	NA	NA	KC583479	"Froufe et al., 2014"
AA341	IBER	Barbate	Spain	Atlantic	NA	NA	NA	NA	KC583480	"Froufe et al., 2014"
AA342	IBER	Barbate	Spain	Atlantic	NA	NA	NA	NA	KC583481	"Froufe et al., 2014"
